date	link_index	number	content
2017/02/07|13/23/00	56936	127	 いや、またパルシェンに弱くなるな  裏構築でメタ張らないと厳しい    ミミッキュの起用も視野に入れたい <\br>
2017/02/11|00/34/00	56936	491	 俺のミミッキュに勝てる奴おんの？ <\br>
2017/02/11|00/38/00	56936	493	 ミミッキュを型破りドリウズで狩ろうと思ったらアイへが教え技なんだよな  メガミミロップで猫騙しからの恩返しとかも考えたけどメガ石未解禁みたいだしどうしようもねえな <\br>
2016/12/27|04/34/00	57656	169	 ミミッキュ脳死フェアリーZ強すぎでは？ランターン即死して負けたのだが？ <\br>
2016/12/27|04/37/00	57656	173	 ミミッキュの火力のZ技で強すぎなら  大抵のZ技が強すぎになるような  ミミッキュZ技持ちかなり多いから奇襲性もそこまでないし <\br>
2016/12/27|04/37/00	57656	174	 >>169  剣舞されてたんでしょ <\br>
2016/12/27|04/38/00	57656	176	 皮を楯にしたミミッキュのお掃除性能高くてすき  xyのアローと同じぐらい使ってるわ <\br>
2016/12/27|04/39/00	57656	177	 ミミッキュそこまで火力ないだろ <\br>
2016/12/27|04/40/00	57656	179	 ミミッキュはナマコ投げとけば大体なんとかなるけど  挑発持ちミミッキュが最近増えてきてるのがな <\br>
2016/12/27|04/40/00	57656	180	 とりあえずミミッキュは見たら鬼火入れてたけどそこから首おってなんやらしてるうちに2舞くらいされるからあんまり意味ない気がしてきた <\br>
2016/12/27|04/41/00	57656	182	 >>174  されてないです… <\br>
2016/12/27|04/41/00	57656	183	 ぶっちゃけ脳筋アタッカータイプのミミッキュが  相手にする場合は一番楽かもしれん  大抵はそれ前提で動くし <\br>
2016/12/27|04/47/00	57656	186	 >>180  1舞は2倍で火傷2舞は1.5倍だから十分効果あるだろ <\br>
2016/12/27|04/49/00	57656	188	 ミミッキュをメガギャラで見ようってのはダメな気がする  安定しないでしょ？ <\br>
2016/12/27|04/50/00	57656	191	 補正ありA252ミミッキュのZシャドクロで無補正無振りランターンに確定2発なんだけど  Bに下降補正でもかけてたんだろうか <\br>
2016/12/27|04/51/00	57656	192	 >>191  じゃれZじゃないのか <\br>
2016/12/27|04/51/00	57656	193	 >>186  んーまあそう言われたらそうか  火傷入れてすぐギャラに交代して舞ったら間に合うしな <\br>
2016/12/27|04/51/00	57656	195	 ミミッキュ先発は簡単に対処されるからラストに据えて削れた相手を殺し切るのが正しい使い方のように思う <\br>
2016/12/27|04/51/00	57656	196	 >>182  いじっぱり252振りでランターンが耐久無振りでも一発は耐えるんだけど  攻:&#160;ミミッキュ&#160;Lv.50  防:&#160;ランターン&#160;Lv.50  ダメージ:&#160;148～175  割合: 74%～87.5%  回数: 確定2発  急所ダメージ:&#160;222～262  割合: 111%～131%  補正:&#160;[ダブル]   技: (不明)  威力: 175&#160;  タイプ: フェアリー*/物理  攻撃: 156+&#160;  防御: 78&#160;  最大HP: 200&#160;  天候: (ふつう)&#160;  相性: ×1&#160; <\br>
2016/12/27|04/53/00	57656	201	 相手の使うミミッキュはクッソウザいけど自分で使うとじゃれつく外して死ぬ無能になる <\br>
2016/12/27|04/54/00	57656	203	 >>196  まじ？CD252のランターンでワンパンだったんだけどバトルビデオひっぱれるかな <\br>
2016/12/27|04/55/00	57656	204	 >>203  高乱数1だから安心しろ <\br>
2016/12/27|04/57/00	57656	209	 >>203  ごめん、なんか設定が二体攻撃になってた...  計算しなおしたら94%だった... <\br>
2016/12/27|05/07/00	57656	223	 ゴーストZでお陀仏だというのにミミッキュの前に出てくるグロスはなんなん <\br>
2016/12/27|06/32/00	57656	326	 運といえば旅パミミッキュがs0だった  よく頑張ったなこいつ <\br>
2016/12/27|07/15/00	57656	397	 解禁されても使われないメガシンカ  メガスピアー→フェローチェでおk  メガヘルガー→命削ってまで特攻しか上がらない雑魚  メガジュペッタ→攻撃高いのにやることがシャドークロー()ミミッキュでおk <\br>
2016/12/27|07/17/00	57656	402	 >>397  メガアブソル→ふいうち弱体先制技メタいたずらごころ悪に無効化低耐久 <\br>
2016/12/27|07/21/00	57656	413	 >>397  ジュペッタはダブルで特性変えて使うんや <\br>
2016/12/27|08/30/00	57656	493	 >>488  ミミッキュに恨み持ってる奴多いから  バンク解禁後はあのポケモンが増殖しそう・・・ <\br>
2016/12/27|08/41/00	57656	500	 ミミッキュ命の珠から襷に変えたら使いやすさ全然違うわ。 <\br>
2016/12/27|09/22/00	57656	581	 ケケンカニはアイスハンマーマジで外しまくるからダメ  こいつの前に出てくるのはミミッキュやマンダだからクソ外しは命取りなのに <\br>
2016/12/27|09/24/00	57656	585	 >>581  そのケケンカニ老眼なんじゃない？w <\br>
2016/12/27|10/06/00	57656	645	 ミミッキュにはメガガルがええな  肝っ玉ねこだましで剥いで捨て身で消し飛ばす <\br>
2016/12/27|10/07/00	57656	651	 >>645  「こうなったら道連れしてやるぅー！」 <\br>
2016/12/27|11/53/00	57656	968	 あと以外とミミッキュが多い  しかも人によって型違いすぎてクソうぜぇわ  ポリ2なんかよりミミッキュのほうが100倍害悪だわ  こいつに補助技与えすぎ <\br>
2016/12/27|11/55/00	57656	976	 >>968  意外でもなんでもないが多いな  いるだけでサザン出しにくいし器用すぎる <\br>
2016/12/27|11/56/00	57656	981	 マンダグロスサザンいるしミミッキュ出されそうなもんだけど出てこないな  出てきたら死ぬんだが <\br>
2016/12/27|11/57/00	57656	982	 ミミッキュが意外は笑うからやめて <\br>
2016/12/27|11/58/00	57656	988	 ドククラゲで積み封じながらミミッキュ毒殺したろっと思ったが  ドククラゲってクリアスモッグ覚えないんだな  まぁくろいきりでもいいやっと思ったらバンク解禁まで遺伝不可（ ＾ω＾）・・・ <\br>
2016/12/27|12/00/00	57656	993	 ミミッキュつえーよ  マンダの100倍厄介だわ  こいつの型や動き読み負けて負けること多い2000いけないわ  1900で止まってる  はぁもうめんどいからパル入れて潰そうかなぁ <\br>
2016/12/11|23/34/00	58270	17	 出）  ◆孵化あまり（すべて必要箇所4V  夢リオルinヘビボ（臆病・バレパン噛砕く真空波遺伝）  *♀もいますが、3V=他ポケモン4V相当、4V=理想個体相当としてみます。ご相談ください  夢ロコンinムンボ（臆病・神通力ムンフォフリドラアンコ遺伝）  夢フカマルinレベボ（陽気・逆鱗アイヘ遺伝）  夢キバニアinルアボ（意地っ張り・ファングハイポ遺伝）  ミミッキュinムンボ（意地っ張り・怨念道連れ悪夢遺伝）  アゴジムシinフレボ（控えめ・マッドショット遺伝）*めざ氷狙いのため、HBCDsから４つ  カラカラinムンボ（意地っ張り・アイヘ遺伝）  ガーディinスピボ（冷静・燃え尽きるインファ炎の渦日差し遺伝）*両刀めざ氷狙いのためHABCDsから４つ  コイキングinダイボ（腕白）  ポリゴン（生意気or穏やか）*生意気はすべてHBCD   ◆非理想（親用）  アゴジムシ♀HBCDs（めざパ不一致）   ◆理想個体  夢キバニア♀6V（意地っ張り・ファングハイポ遺伝）   求）  4vガンテツボール入り孵化あまり  【特に夢ニューラ・夢ムックル・夢ウリムー・チュリネ・マリル】  BPアイテム（1体32BP換算、非理想は48BP、理想個体は64BP）   ※希望に添えるかわかりませんが、性別希望あれば言ってください   2251-3894-8238（TNえ○） <\br>
2016/12/11|23/38/00	58270	23	 >>17  マリル意地力持HABSVとアゴジムシお願いできますか？  アクジェ腹太鼓ルアボです <\br>
2016/12/11|23/39/00	58270	25	 >>23  お願いいたします  フレコ宜しくです <\br>
2016/12/11|23/39/00	58270	27	 出）  [@ラブラブボール]  夢ロコン おくびょう アンコ、フリドラ、催眠、ムンフォ遺伝  夢イーブイ ひかえめ アシパ、のろい、あくび、ねがいごと遺伝  ベトベター いじっぱり/しんちょう くろいまなざし のろい かげうち たくわえる遺伝  夢ヤトウモリ  夢ヒドイデ たくわえる、のみこむ、はきだす遺伝  [@ムーンボール]  カラカラ しんちょう アイアンヘッド遺伝  ミミッキュ ようき みちずれ のろい遺伝  メテノ青 いじっぱり  メテノ橙 ようき  [@ウルトラボール]  夢ヒドイデ ずぶとい くろいきり、たくわえる、のみこむ、はきだす遺伝   求）  夢ナマコブシ  フシデ in ラブラブボール  スボミー in ラブラブボール  ラブラブボール単品  性格V不問です   3695-0342-5949　た○○ <\br>
2016/12/11|23/41/00	58270	30	 >>25  FC:3325-6430-2750  TN:レ○   よろしくお願いします <\br>
2016/12/11|23/43/00	58270	35	 >>27  いまから孵化になりますがナマコブシだせます  控えめ夢イーブイ希望です   フレコ：4253-3631-9324 TN：う〇〇〇 <\br>
2016/12/11|23/45/00	58270	37	 >>17  コイキング&リオルと合計64BP分で交換をお願いします　  1461-6579-0678  あ○○○ <\br>
2016/12/11|23/45/00	58270	38	 >>35  ありがとうございます◎  イーブイ承知です  登録しておくので準備できたらお声がけくださいー <\br>
2016/12/11|23/46/00	58270	40	 >>37  是非お願いします  アブソルナイト宜しくお願いします <\br>
2016/12/11|23/46/00	58270	41	 >>25  交換ありがとうございました <\br>
2016/12/11|23/47/00	58270	42	 >>38  うまれました  いまから潜ります <\br>
2016/12/11|23/49/00	58270	45	 >>40  了解しました  今から潜ります <\br>
2016/12/11|23/49/00	58270	46	 【出】全て必須4vです   ＊意地っ張りor陽気ミミッキュ@プレミア(道連れ呪い)  ＊控えめor穏やかアシマリ@モンボ(滅びの歌)  ＊陽気アマカジ@ラブボ[鈍感](じゃれつく甘える草笛光合成)  ＊意地っ張りヌイコグマ@ラブボ[もふもふ](雷氷P)  ＊図太い夢ナマコブシ@ヒール[天然]  ＊臆病夢ピチュー@スピボ[避雷針](猫騙しアンコエレキフィールド起死回生)  ＊図太い夢ヤミラミ@ムンボ[悪戯心](トリック自己再生不意打ち)  ＊腕白シズクモ@ネット(蓄える吐き出す)  ＊陽気トゲデマル@ムンボ[避雷針](アンコ猫騙し願い事起死回生)  ＊臆病キャモメ@ダイブ[潤いボディ]  ＊控えめタッツー@ダイブ[すいすい]  ＊陽気ガルーラ@ウルボ[肝っ玉](捨て身気合いだめ)  ＊おっとり夢キバニア@ルアー[加速](ドロポン潮水サイコファング)  ＊控えめチョンチー@ルアー[蓄電](高速移動水浸しど忘れ渦潮)  ＊意地っ張り夢ミニリュウ@レベボ[不思議な鱗](竜舞アクジェドラゴンダイブ超音波)  ＊控えめモノズ@ムンボ(ダメ押し)  ＊陽気夢イワンコ@ムンボ[不屈の心](雷炎牙暴れる不意打ち)  ＊臆病ヒノアラシ@レベボ(二度蹴り神通力起死回生)   【求】ムーンボール入り控えめヒトモシ(個体値不問)   【FC】0001 3540 5957  【TN】シ○○ <\br>
2016/12/11|23/49/00	58270	47	 >>17  すみません、今確認したところアゴジムシHCDのみVです <\br>
2016/12/11|23/50/00	58270	48	 出）陽気ダンバル@ウルトラ  陽気ミミッキュ@ゴージャス  いじムックル@レベル  陽気フカマル@ウルトラ  慎重毒手ベトベター@ネスト  臆病夢ロコン@ダイブ  いじサイホーン@ウルトラ  フル遺伝陽気リオル@ゴージャス  いじコソクムシ@ネット@クイック  陽気ニューラ@ムーン  いじカラカラ@ムーン  冷静ヒトツキ@ダーク  控えめモノズ@スーパー@ウルトラ  臆病モノズ@ウルトラ  臆病ゴース@ムーン  いじマリル@ルアー  陽気タツベイ@ウルトラ  以上理想個体  夢リオルはなんか理想個体と交換希望  求）孵化余り 勇敢タツベイ うっかりやシェルダー等 ヤドキングニョロトノの図鑑登録 ぎんのおうかん  5386-7287-6044 TNす〇 <\br>
2016/12/11|23/51/00	58270	49	 >>47  SがUではありませんか？ めざ氷狙いのためです <\br>
2016/12/11|23/52/00	58270	50	 >>49  あ、そういうことでしたか  私の勘違いです、すみません <\br>
2016/12/11|23/52/00	58270	51	 >>42  ありがとうございましたー！！ <\br>
2016/12/11|23/52/00	58270	52	 >>51  こちらこそありがとうございました <\br>
2016/12/11|23/53/00	58270	54	 >>50  いえ、もし返品願いあれば受け付けますのでお声掛けくださいませ   >>45  ありがとうございました！ 確認宜しくです <\br>
2016/12/11|23/53/00	58270	55	 >>48  ミミッキュとベトベター希望です  王冠出せます  1865-3512-2444 <\br>
