Token	TFIDF	Sentiment	Counts
br	0.18756030515482777	0.14991361708811057	25468
ミミッキュ	0.04633694365117003	-0.17268377555458894	4598
ミミ	0.039873678290742454	-0.2432732316227462	3605
良い	0.020403146492385314	0.13112459169388707	2143
無い	0.017407381492199805	-0.5075690115761353	2246
希望	0.017402168391053074	0.5393939393939394	990
登録	0.015226003014700985	0.7878315132605305	641
夢	0.014356910265896633	0.1534603811434303	997
v	0.01350587398762868	0.32335329341317365	334
今	0.012285038047131049	0.1608910891089109	808
遺伝	0.009669285955636157	0.20251177394034536	637
強い	0.009300733205556874	-0.029224904701397714	787
準備	0.009176360162296717	0.8260869565217391	345
4	0.009000116902764126	0.25679012345679014	810
意地	0.00897088390221594	0.22135007849293564	637
孵化	0.008194284114539088	0.21657250470809794	531
4 v	0.007938609056466714	0	0
申し訳	0.007832339168715752	-0.04522613065326633	398
飴	0.00750860170897022	0.29949238578680204	394
2	0.00743419118748672	-0.07868020304568528	788
z	0.007386142464143479	-0.22772277227722773	101
襷	0.007362276826135392	-0.26174496644295303	596
方	0.007361728531715427	-0.4195323246217332	727
次第	0.007080647452434222	0.7625	320
1	0.006938756247947495	-0.10953058321479374	703
5	0.006514622736776582	0.3355263157894737	608
ポケモン	0.006496698665556272	-0.4048913043478261	736
欲しい	0.0064602803839126696	-0.2796934865900383	522
宜しい	0.006370869871537358	-0.1301775147928994	338
零	0.006068797949927597	0.3898305084745763	236
ボール-ball	0.006006842413992675	0.05789473684210526	380
特性	0.00599944193087497	-0.08932461873638345	459
事	0.00597138213037985	-0.40298507462686567	670
パワー-power	0.005913791809064951	0.44481605351170567	299
5 v	0.005776267865008791	0	0
文字	0.005751628758746239	0.39490445859872614	314
bp	0.0055568327994667075	0.22727272727272727	44
技	0.005549447853346258	-0.2864450127877238	782
ロコン	0.005489400465558757	0.15223880597014924	335
メガ-mega	0.005270483731619952	-0.23516483516483516	455
理想	0.005235360015713404	0.11326860841423948	309
対策	0.004974947158013247	-0.31693989071038253	366
ガブ	0.004926250720531935	-0.1650485436893204	412
奴	0.004884941322126919	-0.45596868884540115	511
一	0.004728149516906286	-0.11009174311926606	436
時間	0.004701545056426539	-0.045871559633027525	327
3	0.00469441431218388	-0.034334763948497854	466
トリル-trill	0.004662960238712956	-0.20257234726688103	311
人	0.00452420813057066	-0.1935483870967742	558
s	0.004484549742814612	0.2987012987012987	77
剣舞	0.004319723647030618	-0.3373860182370821	329
後	0.004318173283101489	0.05460750853242321	586
ポリゴン-polygon	0.004290130231176034	0.10320284697508897	281
鬼火	0.004266565911642666	-0.15355805243445692	267
人 付き	0.00415743916732266	0	0
陽気	0.004119715250813628	0.1873479318734793	411
ル-le	0.0039905004592801375	0.16151202749140894	291
ギャラ-guarantee	0.003965545577707448	-0.26380368098159507	326
ゴースト-ghost	0.003963612902977361	-0.34	300
王冠	0.00395853088842991	0.2512820512820513	195
多い	0.003910000060984142	-0.4624277456647399	346
レート-rate	0.0038508455944912144	-0.3890675241157556	311
時	0.003828065253860184	0.2441860465116279	344
リオル	0.003687037845558315	0.25405405405405407	185
機会	0.0036305108970461947	0.7575757575757576	132
銀	0.003600168494780509	0.28865979381443296	194
道連れ	0.003517877972958876	0.22088353413654618	249
物	0.0035176731884832787	-0.3132530120481928	332
テフ-teff	0.00350335479165555	-0.6470588235294118	289
デ-des	0.0034859673530042447	-0.5092592592592593	216
虫	0.0034794783156909636	0.3416666666666667	240
以外	0.0034731459328096754	-0.37293729372937295	303
子	0.0034626707470198936	-0.07228915662650602	332
付き	0.003401970422486087	0.15862068965517243	290
相手	0.0033882533954705837	-0.35873015873015873	315
気	0.003348306831804342	-0.11049723756906077	362
本当	0.0033406802828042583	-0.11934156378600823	243
アイテム-item	0.003329581769994612	0.15639810426540285	211
フェアリー-fairy	0.003305647560432861	-0.30864197530864196	243
酷い	0.003305022455242995	-0.5564516129032258	248
申し訳 無い	0.003258984616849811	0	0
可愛い	0.003198509708725382	0.22340425531914893	188
内	0.0031388313404981717	-0.24629080118694363	337
呪い	0.0030882236824231212	0.0673076923076923	208
遅い	0.003074706755485293	-0.06329113924050633	158
バル	0.0030658084057220217	0.17204301075268819	186
待機	0.0030636197126484707	0.7117117117117117	111
募集	0.0030465800473404325	0.25190839694656486	131
臆病	0.0030428643710663744	0.3138075313807531	239
ピカチュウ	0.0030406700944315083	-0.3694581280788177	203
c	0.0030058093094614477	0.2835820895522388	67
a	0.002986664480070001	0.6	40
化けの皮	0.0029403806429138288	-0.49732620320855614	187
他	0.002939042797855642	-0.176	250
ポケルス	0.0029338988037946566	0.22137404580152673	131
ムーン-moon	0.002915418768668053	0.06467661691542288	201
性格	0.0029141685574298427	0.2648648648648649	185
ヌイコグマ	0.002899561206973275	0.2883435582822086	163
体	0.002853764866405511	-0.03734439834024896	241
枠	0.0027985648480855657	-0.31843575418994413	179
御免	0.002794564000801819	-0.30985915492957744	142
